Iteration,Time (seconds),Result
1,7.55,W
2,7.55,W
3,7.62,W
4,7.56,W
5,7.7,W
6,7.93,W
7,7.06,W
8,7.38,W
9,7.72,W
10,7.65,W
11,7.99,W
12,7.58,W
13,7.83,W
14,7.41,W
15,7.02,W
16,7.56,W
17,7.47,W
18,7.5,W
19,7.42,W
20,7.85,W
21,7.62,W
22,7.68,W
23,7.39,W
24,7.08,W
25,7.68,W
26,7.18,W
27,7.66,W
28,15.81,L
29,7.46,W
30,7.15,W
31,7.52,W
32,7.05,W
33,7.42,W
34,2.36,L
35,7.75,W
36,7.28,W
37,7.72,W
38,7.75,W
39,7.14,W
40,7.52,W
41,7.45,W
42,7.71,W
43,7.12,W
44,7.98,W
45,7.66,W
46,7.58,W
47,7.69,W
48,7.7,L
49,7.82,W
50,11.78,L
