Iteration,Time (seconds),Result
1,25.86,W
2,25.45,W
3,25.19,W
4,30.04,L
5,25.88,W
6,23.89,L
7,25.05,W
8,25.51,W
9,25.63,W
10,25.14,W
11,26.53,L
12,25.77,W
13,6.4,L
14,25.36,W
15,25.59,W
16,25.91,W
17,25.46,W
18,40.73,L
19,25.06,W
20,25.8,W
21,25.53,W
22,25.36,W
23,25.94,W
24,25.43,W
25,25.68,W
26,25.88,W
27,26.94,L
28,21.35,L
29,25.91,W
30,3.43,L
31,25.27,W
32,25.96,W
33,25.5,W
34,25.05,W
35,25.74,W
36,25.57,W
37,25.62,W
38,25.08,W
39,5.59,L
40,25.2,W
41,25.4,W
42,25.5,W
43,25.38,W
44,25.29,W
45,25.78,W
46,25.99,W
47,25.76,W
48,39.26,L
49,25.02,W
50,25.94,W
